Group1_key,ecatalogue_key,CatFullNumber,Present Sci name,Phylum,Class,Order,Family,Genus,Ocean,SeaGulf,BaySound,Country,ProvinceStateTerritory,DistrictCountyShire,Township,NearestNamedPlace,PreciseLocation,AquDepthFromMet,AquDepthToMet,ColDate,Year Collected,Collector,Lat,Long
1,1,IZ.083658,Diadumene lineata,Cnidaria,Anthozoa,Actiniaria,Diadumenidae,Diadumene,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New London County,Mystic,Fort Rachel Marina,The sides of floating docks at Fort Rachel Marina,,,7/3/16,2016,Elder,41.349,-71.972
2,2,IZ.083659,Diadumene lineata,Cnidaria,Anthozoa,Actiniaria,Diadumenidae,Diadumene,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New London County,Mystic,Fort Rachel Marina,The sides of floating docks at Fort Rachel Marina,,,7/3/16,2016,Elder,41.349,-71.972
3,3,IZ.083660,Diadumene lineata,Cnidaria,Anthozoa,Actiniaria,Diadumenidae,Diadumene,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New London County,Mystic,Fort Rachel Marina,The sides of floating docks at Fort Rachel Marina,,,7/3/16,2016,Elder,41.349,-71.972
4,4,IZ.083661,Diadumene lineata,Cnidaria,Anthozoa,Actiniaria,Diadumenidae,Diadumene,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New London County,Mystic,Fort Rachel Marina,The sides of floating docks at Fort Rachel Marina,,,7/3/16,2016,Elder,41.349,-71.972
5,5,IZ.083662,Diadumene lineata,Cnidaria,Anthozoa,Actiniaria,Diadumenidae,Diadumene,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New London County,Mystic,Fort Rachel Marina,The sides of floating docks at Fort Rachel Marina,,,7/3/16,2016,Elder,41.349,-71.972
6,6,IZ.083663,Diadumene lineata,Cnidaria,Anthozoa,Actiniaria,Diadumenidae,Diadumene,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New London County,Mystic,Fort Rachel Marina,The sides of floating docks at Fort Rachel Marina,,,7/3/16,2016,Elder,41.349,-71.972
7,7,IZ.083664,Diadumene lineata,Cnidaria,Anthozoa,Actiniaria,Diadumenidae,Diadumene,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New London County,Mystic,Fort Rachel Marina,The sides of floating docks at Fort Rachel Marina,,,7/3/16,2016,Elder,41.349,-71.972
8,8,IZ.083665,Diadumene lineata,Cnidaria,Anthozoa,Actiniaria,Diadumenidae,Diadumene,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New London County,Mystic,Fort Rachel Marina,The sides of floating docks at Fort Rachel Marina,,,7/3/16,2016,Elder,41.349,-71.972
9,9,IZ.083671,Diadumene lineata,Cnidaria,Anthozoa,Actiniaria,Diadumenidae,Diadumene,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New London County,Mystic,Fort Rachel Marina,The sides of floating docks at Fort Rachel Marina,,,7/5/16,2016,Elder,41.349,-71.972
10,10,IZ.083672,Diadumene lineata,Cnidaria,Anthozoa,Actiniaria,Diadumenidae,Diadumene,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New London County,Mystic,Fort Rachel Marina,The sides of floating docks at Fort Rachel Marina,,,7/5/16,2016,Elder,41.349,-71.972
11,11,IZ.083673,Diadumene lineata,Cnidaria,Anthozoa,Actiniaria,Diadumenidae,Diadumene,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New London County,Mystic,Fort Rachel Marina,The sides of floating docks at Fort Rachel Marina,,,7/5/16,2016,Elder,41.349,-71.972
12,12,IZ.083674,Diadumene lineata,Cnidaria,Anthozoa,Actiniaria,Diadumenidae,Diadumene,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New London County,Mystic,Fort Rachel Marina,The sides of floating docks at Fort Rachel Marina,,,7/5/16,2016,Elder,41.349,-71.972
13,13,IZ.083675,Diadumene lineata,Cnidaria,Anthozoa,Actiniaria,Diadumenidae,Diadumene,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New London County,Mystic,Fort Rachel Marina,The sides of floating docks at Fort Rachel Marina,,,7/5/16,2016,Elder,41.349,-71.972
14,14,IZ.083676,Diadumene lineata,Cnidaria,Anthozoa,Actiniaria,Diadumenidae,Diadumene,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New London County,Mystic,Fort Rachel Marina,The sides of floating docks at Fort Rachel Marina,,,7/5/16,2016,Elder,41.349,-71.972
15,15,IZ.083677,Diadumene lineata,Cnidaria,Anthozoa,Actiniaria,Diadumenidae,Diadumene,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New London County,Mystic,Fort Rachel Marina,The sides of floating docks at Fort Rachel Marina,,,7/5/16,2016,Elder,41.349,-71.972
16,16,IZ.083678,Diadumene lineata,Cnidaria,Anthozoa,Actiniaria,Diadumenidae,Diadumene,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New London County,Mystic,Fort Rachel Marina,The sides of floating docks at Fort Rachel Marina,,,7/5/16,2016,Elder,41.349,-71.972
17,17,IZ.083679,Diadumene lineata,Cnidaria,Anthozoa,Actiniaria,Diadumenidae,Diadumene,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New London County,Mystic,Fort Rachel Marina,The sides of floating docks at Fort Rachel Marina,,,7/5/16,2016,Elder,41.349,-71.972
18,18,IZ.083680,Diadumene lineata,Cnidaria,Anthozoa,Actiniaria,Diadumenidae,Diadumene,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New London County,Mystic,Fort Rachel Marina,The sides of floating docks at Fort Rachel Marina,,,7/5/16,2016,Elder,41.349,-71.972
19,19,IZ.083681,Diadumene lineata,Cnidaria,Anthozoa,Actiniaria,Diadumenidae,Diadumene,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New London County,Mystic,Fort Rachel Marina,The sides of floating docks at Fort Rachel Marina,,,7/5/16,2016,Elder,41.349,-71.972
20,20,IZ.083682,Diadumene lineata,Cnidaria,Anthozoa,Actiniaria,Diadumenidae,Diadumene,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New London County,Mystic,Fort Rachel Marina,The sides of floating docks at Fort Rachel Marina,,,7/5/16,2016,Elder,41.349,-71.972
21,21,IZ.083859,Uca pugnax,Arthropoda,Malacostraca,Decapoda,Ocypodidae,Uca,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,Branford,,salt marsh.,,,7/27/16,2016,Elder,41.264,-72.739
22,22,IZ.084255,Ammonia beccarii,Rhizopoda,,Foraminiferida,Rotaliidae,Ammonia,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,Branford,,,,,8/11/16,2016,Elder,41.264,-72.7461
23,23,IZ.086407,Ampithoe valida,Arthropoda,Malacostraca,Amphipoda,Ampithoidae,Ampithoe,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,Branford,,Salt marsh near [Yale Natural Lands],,,11/14/16,2016,Elder,41.264,-72.7461
