Group1_key,ecatalogue_key,CatFullNumber,Present Sci name,Phylum,Class,Order,Family,Genus,Ocean,SeaGulf,BaySound,Country,ProvinceStateTerritory,DistrictCountyShire,Township,NearestNamedPlace,PreciseLocation,AquDepthFromMet,AquDepthToMet,ColDate,Year Collected,Collector,Lat,Long
287,287,IZ.016044.GP,Acanthodoris pilosa,Mollusca,Gastropoda,Nudibranchia,Onchidorididae,Acanthodoris,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,West Haven,Savin Rock,,,,1872,1872,Verrill,41.275,-72.964
91,91,IZ.000459.TN,Alcyonidioides mytili,Bryozoa,Gymnolaemata,Ctenostomata,Alcyonidiidae,Alcyonidium,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,West Haven,Savin Rock,,,,1873,1873,Verrill,41.275,-72.964
90,90,IZ.000455.TN,Alcyonidium hirsutum,Bryozoa,Gymnolaemata,Ctenostomata,Alcyonidiidae,Alcyonidium,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,,West Haven,Savin Rock,,,1873-05-05,1873,Verrill,41.275,-72.964
85,85,IZ.000420.TN,Alcyonidium ramosum,Bryozoa,Gymnolaemata,Ctenostomata,Alcyonidiidae,Alcyonidium,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,Branford,Thimble Islands,Outer Island,,,,,Verrill,41.279,-72.797
89,89,IZ.000452.TN,Alcyonidium ramosum,Bryozoa,Gymnolaemata,Ctenostomata,Alcyonidiidae,Alcyonidium,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,Branford,Thimble Islands,Outer Island,,,,,Verrill,41.279,-72.797
429,429,IZ.063234,Alcyonidium ramosum,Bryozoa,Gymnolaemata,Ctenostomata,Alcyonidiidae,Alcyonidium,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,,New Haven,off South End,,,,,Verrill,41.307,-72.925
460,460,IZ.102884,Alcyonidium ramosum,Bryozoa,Gymnolaemata,Ctenostomata,Alcyonidiidae,Alcyonidium,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,Branford,Thimble Islands,Outer Island,,,,,Verrill,41.279,-72.797
461,461,IZ.102885,Alcyonidium verrilli,Bryozoa,Gymnolaemata,Ctenostomata,Alcyonidiidae,Alcyonidium,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,Branford,Thimble Islands,Outer Island,,,,,Verrill,41.279,-72.797
107,107,IZ.000610.AN,Alitta succinea,Annelida,Polychaeta,Errantida,Nereidae,Alitta ,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New Haven County,West Haven,Savin Rock,(and Stony Creek),,,1872-05-,1872,Verrill,41.275,-72.964
109,109,IZ.000612.AN,Alitta succinea,Annelida,Polychaeta,Errantida,Nereidae,Alitta ,Atlantic Ocean,,Long Island Sound,USA,Connecticut,New London County,,Noank,,,,1874,1874,Verrill,41.358,-72.028
